,Unnamed: 0.2,name,birth_date,birth_place,death_date,death_place,occupation,awards,alma_mater,education,spouse,children,occupation_cluster,birth_year,death_year,life_span,life_span_cluster,edu_award_cluster,bio_cluster
0,0,-0.2912120933076087,-0.3278662163196402,1.812299811544237,0.0875523953764977,0.863551249344799,-0.5130847304504031,-0.0289145882574839,-0.2792884772547764,-0.7431369689505177,0.4726361468812994,-0.4081706174136226,-0.6285477351915405,1643.0,1727.0,84.0,2.0,1.2721703214611757,0.1010811295286561
1,1,0.3187405479667927,1.533003033900833,1.6010480923118915,1.9144205906202592,1.470586408995591,-0.5130847304504031,0.3912340391257261,2.474454547351918,0.1716513346384583,0.4726361468812994,-0.4081706174136226,-0.6285477351915405,1867.0,1934.0,67.0,2.0,-0.573777572327484,-0.8675731069971382
2,2,-1.6113238812086348,-0.3903760360944881,1.5031509541310484,0.0133990737983376,1.5631849926711352,-0.5130847304504031,0.3912340391257261,-0.2792884772547764,0.1716513346384583,0.4726361468812994,2.9718716015233766,-0.6285477351915405,1879.0,1955.0,76.0,2.0,-0.573777572327484,-0.8675731069971382
3,3,1.2510967282005208,1.5089607955258917,-1.304951167372082,1.880714535357459,1.1310582688519275,-0.5130847304504031,0.3912340391257261,-0.2792884772547764,0.1716513346384583,0.3823266366366437,3.464110759620998,-0.6285477351915405,1815.0,1852.0,37.0,2.0,-0.573777572327484,-0.8675731069971382
4,4,0.1706091922287238,1.3166228885263591,1.7401650781478264,1.5638776158871388,0.1742062375379679,-0.5130847304504031,0.3912340391257261,-0.2792884772547764,-4.069639891092248,0.4726361468812994,-0.4081706174136226,-0.6285477351915405,1452.0,1519.0,67.0,5.0,1.2721703214611757,2.038389602580245
5,5,-0.6702540918138439,0.5232290221532894,0.8487858726064658,0.4043893148468179,-0.360807801476289,-0.5130847304504031,0.3912340391257261,-0.2792884772547764,-0.1194176710489431,0.4726361468812994,-0.4081706174136226,-0.6285477351915405,1564.0,1642.0,78.0,5.0,1.2721703214611757,2.038389602580245
6,6,0.5714352136376162,0.7876936442776461,1.2197645015022922,0.8897565106311384,1.3368328992420264,2.0480980220905414,-0.5783397163739895,-0.6872504068261385,0.1716513346384583,0.4726361468812994,-0.4081706174136226,1.5690145481928313,1856.0,1943.0,87.0,2.0,-0.573777572327484,1.0697353660544504
7,7,-1.1930706414776169,1.5041523478509031,1.1836971348040868,0.6403317016864182,0.3491146733695519,-0.5130847304504031,0.3912340391257261,-0.2792884772547764,1.834902795709324,0.4726361468812994,-0.4081706174136226,-0.6285477351915405,1809.0,1882.0,73.0,2.0,1.2721703214611757,0.1010811295286561
8,8,1.333876015230618,-0.7462011640436225,0.431434915098661,-0.4921917551436627,2.242241272958461,2.080518056932832,-0.9661692185738756,-0.2792884772547764,-4.11122117761902,1.1349058886754413,1.462338183357338,1.5690145481928313,1847.0,1931.0,84.0,2.0,1.2721703214611757,1.0697353660544504
9,9,-1.4501221117289715,-1.0395164722179089,-1.2585788387601036,-0.842734729876783,-0.6900472101004471,-0.5130847304504031,0.3912340391257261,-0.2792884772547764,0.1716513346384583,0.4726361468812994,-0.4081706174136226,-0.6285477351915405,1984.0,1860.5845620121424,60.20071047957372,2.378330373001776,-0.573777572327484,-0.8675731069971382
10,10,0.7805618335031252,-1.4097669431920083,-0.6145187191492939,-0.9573353177703032,-1.1530401284781695,-0.5130847304504031,0.3912340391257261,-0.2792884772547764,0.1716513346384583,0.4726361468812994,-0.4081706174136226,-0.6285477351915405,1875.9082901554405,1860.5845620121424,60.20071047957372,2.378330373001776,-0.573777572327484,-0.8675731069971382
11,11,1.116035786204046,1.7109155978754005,-0.4857066952271319,-0.9505941067177432,-1.1530401284781695,-0.5130847304504031,0.3912340391257261,-0.2792884772547764,0.1716513346384583,-2.4624229360700114,-0.4081706174136226,-0.6285477351915405,1875.9082901554405,1860.5845620121424,60.20071047957372,2.378330373001776,-0.573777572327484,-0.8675731069971382
12,12,-0.055944645958911,1.48491855715095,1.616505535182551,-0.0877190919900624,1.604339918749155,-0.5130847304504031,0.3912340391257261,-0.2792884772547764,-0.6599743958969744,0.4726361468812994,-0.4081706174136226,-0.6285477351915405,1571.0,1630.0,59.0,5.0,1.2721703214611757,2.038389602580245
13,13,-1.6200374903696977,-0.2893986349197338,0.3850625864866828,0.1279996616918577,2.3965722457510354,-0.5130847304504031,0.3912340391257261,3.1373926829053813,0.1716513346384583,0.4726361468812994,-0.4081706174136226,-0.6285477351915405,1912.0,1954.0,42.0,2.0,-0.573777572327484,-0.8675731069971382
14,14,1.1465334182677662,-0.2797817395697571,0.7457362534687362,0.1549645059020977,0.0610301908234136,-0.5130847304504031,-0.9984883437571996,-0.2792884772547764,1.460671216968379,1.0295447933900097,0.4450439232889209,-0.6285477351915405,1942.0,2018.0,76.0,2.0,1.2721703214611757,0.1010811295286561
15,15,-1.227925078121868,-0.4865449895942542,-1.274036281630763,-0.2495081572515025,1.8821356697757885,-0.5130847304504031,0.3912340391257261,-0.2792884772547764,-0.4104866767363446,0.4726361468812994,-0.4081706174136226,-0.6285477351915405,1934.0,1996.0,62.0,2.0,2.195144268355506,0.1010811295286561
16,16,-1.3499156063767483,-0.2172719197949092,-0.8618378050798449,0.431354159057058,1.4808751405150955,-0.5130847304504031,0.3912340391257261,-0.2792884772547764,-3.8617334584583904,-0.8067485815846566,3.3984788718746484,-0.6285477351915405,1706.0,1790.0,84.0,2.0,-1.496751519221814,-0.8675731069971382
17,17,-0.2215032200191057,1.374324260626219,-0.4032669999169483,1.651513359570419,0.0610301908234136,-0.5130847304504031,-0.0612337134408078,4.208292748030207,0.1716513346384583,-0.4003557854837058,-0.4081706174136226,-0.6285477351915405,1831.0,1879.0,48.0,2.0,0.3491963745668457,-0.8675731069971382
18,18,-0.9926576307731704,1.518577690875868,-1.2122065101481252,1.9009381685151392,-0.5768711633858927,-0.5130847304504031,-0.2874675897240747,0.6896211054772087,0.1716513346384583,0.4726361468812994,-0.4081706174136226,-0.6285477351915405,1834.0,1907.0,73.0,2.0,0.3491963745668457,-0.8675731069971382
19,19,-0.5656907818810893,1.3695158129512308,-0.1147280663313055,1.664995781675539,-0.1035895134886654,-0.5130847304504031,0.3912340391257261,-0.2792884772547764,-0.1609989575757147,0.4726361468812994,-0.4081706174136226,-0.6285477351915405,1822.0,1884.0,62.0,2.0,2.195144268355506,0.1010811295286561
20,20,0.2141772380340381,0.69152469077788,-0.4599442904426996,0.7010026011594582,1.1001920742934126,-0.5130847304504031,0.3912340391257261,-0.2792884772547764,1.7933215091825525,-0.1745820098720665,1.1669946884987654,-0.6285477351915405,1822.0,1895.0,73.0,2.0,1.2721703214611757,0.1010811295286561
21,21,1.0811813495597946,0.8646288070774589,-0.5114691000115643,-0.4450032777757427,-0.9163993035295558,-0.5130847304504031,0.3912340391257261,-0.2792884772547764,0.1716513346384583,0.4726361468812994,-0.4081706174136226,-0.6285477351915405,1881.0,1955.0,74.0,2.0,-0.573777572327484,-0.8675731069971382
